P,average_time_seconds,minimum_time_seconds
1,0.0002636299999949188,0.00011970000014116522
2,0.00024140999994415324,0.00019829999996545666
4,0.00045757999998841115,0.0004063999999743828
8,0.0008780900000147085,0.0008215000000291184
16,0.0017681199999742604,0.001676800000041112
32,0.003462780000040766,0.003355899999860412
64,0.008124930000030872,0.006822499999998399
